8990 Holdings Inc.,HOUSE
EEI Corp. Pfd. Series B,EEIPB
Emperador Inc.,EMI
Empire East Land Holdings Inc.,ELI
ENEX Energy Corp.,ENEX
Euro-Med Laboratories Philippines Inc. B Shrs,EURO
Ever Gotesco Resources & Holdings Inc.,EVER
F&J Prince Holdings Corp. A,FJP
Far Eastern University Inc.,FEU
Ferronoux Holdings Inc.,FERRO
Figaro Culinary Group Inc.,FCG
Filinvest Development Corp.,FDC
Filinvest Land Inc.,FLI
Filinvest REIT Corp.,FILRT
First Abacus Financial Holdings Corp.,FAF
First Gen Corp.,FGEN
First Philippine Holdings Corp.,FPH
Forum Pacific Inc.,FPI
Fruitas Holdings Inc.,FRUIT
Geograce Resources Philippines Inc.,GEO
Ginebra San Miguel Inc.,GSMI
Global Ferronickel Holdings Inc.,FNI
Global-Estate Resorts Inc.,GERI
Globe Telecom Inc. A,GLO
GMA Network Inc.,GMA7
Golden MV Holdings Inc.,HVN
Grand Plaza Hotel Corp.,GPH
Greenergy Holdings Inc.,GREEN
GT Capital Holdings Inc.,GTCAP
GT Capital Holdings Inc. Pfd. Series B,GTPPB
Harbor Star Shipping Services Inc.,TUGS
Haus Talk Inc.,HTI
House of Investments Inc.,HI
Imperial Resources Inc.,IMP
Integrated Micro-Electronics Inc.,IMI
International Container Terminal Services Inc.,ICT
Ionics Inc.,ION
iPeople Inc. A,IPO
IPM Holdings Inc.,IPM
I-Remit Inc.,I
Italpinas Development Corp.,IDC
Jackstones Inc.,JAS
JG Summit Holdings Inc.,JGS
Jollibee Foods Corp.,JFC
Keepers Holdings Inc.,KEEPR
Keppel Philippines Holdings Inc. A,KPH
Keppel Philippines Holdings Inc. B,KPHB
Keppel Philippines Properties Inc.,KEP
Kepwealth Property Philippines Inc.,KPPI
LBC Express Holdings Inc.,LBC
Lepanto Consolidated Mining Co.,LC
Lepanto Consolidated Mining Co. B,LCB
LFM Properties Corp.,LPC
Liberty Flour Mills Inc.,LFM
Lodestar Investment Holdings Corp.,LODE
Lopez Holdings Corp.,LPZ
Lorenzo Shipping Corp.,LSC
LT Group Inc.,LTG
Mabuhay Holdings Corp.,MHC
Mabuhay Vinyl Corp.,MVC
Macay Holdings Inc.,MACAY
Macroasia Corp.,MAC
Makati Finance Corp.,MFIN
Manila Broadcasting Co.,MBC
Manila Bulletin Publishing Corp.,MB
Manila Electric Co.,MER
Manila Mining Corp. A,MA
Manila Mining Corp. B,MAB
Manila Water Co. Inc.,MWC
Manulife Financial Corp.,MFC
Marcventures Holdings Inc.,MARC
Max's Group Inc.,MAXS
Medco Holdings Inc.,MED
Medilines Distributors Inc.,MEDIC
Megawide Construction Corp.,MWIDE
Megawide Construction Corp. Pfd.,MWP2B
MegaWorld Corp.,MEG
MerryMart Consumer Corp.,MM
Metro Alliance Holdings & Equities Corp.,MAH
Metro Alliance Holdings & Equities Corp. B,MAHB
Metro Retail Stores Group Inc.,MRSGI
Metropolitan Bank & Trust Co.,MBT
Millennium Global Holdings Inc.,MG
Monde Nissin Corp.,MONDE
MRC Allied Inc.,MRC
MREIT Inc.,MREIT
National Reinsurance Corp. of the Philippines,NRCP
NexGen Energy Corp.,XG
Nickel Asia Corp.,NIKL
NiHAO Mineral Resources International Inc.,NI
Now Corp.,NOW
OceanaGold Philippines Inc.,OGP
Omico Corp.,OM
Oriental Peninsula Resources Group Inc.,ORE
Oriental Petroleum & Mineral Corp. B,OPMB
Oriental Petroleum & Minerals Corp. A,OPM
Pacific Online Systems Corp.,LOTO
Pacifica Holdings Inc.,PA
PAL Holdings Inc.,PAL
Panasonic Manufacturing Philippines Corp.,PMPC
PetroEnergy Resources Corp.,PERC
Petron Corp.,PCOR
Petron Corp. NV Series 4D Pfd,PRF4D
Petron Corp. NV Series 4E Pfd.,PRF4E
Petron Corp. Pfd. Series 4A,PRF4A
Petron Corp. Pfd. Series 4C,PRF4C
PH Resorts Group Holdings Inc.,PHR
Philex Mining Corp.,PX
Philippine Bank of Communications,PBC
Philippine Business Bank,PBB
Philippine Estates Corp.,PHES
Philippine Infradev Holdings Inc.,INFRA
Philippine National Bank,PNB
Philippine Racing Club Inc.,PRC
Philippine Realty & Holdings Corp.,RLT
Philippine Savings Bank,PSB
Philippine Seven Corp.,SEVN
Philippine Stock Exchange Inc.,PSE
Philippine Trust Co.,PTC
Philodrill Corp.,OV
Philweb Corp.,WEB
Phinma Corp.,PHN
PLDT Inc.,TEL
Premiere Horizon Alliance Corp.,PHA
Premiere Island Power REIT Corp.,PREIT
Prime Media Holdings Inc.,PRIM
Primex Corp.,PRMX
Pryce Corp.,PPC
Puregold Price Club Inc.,PGOLD
PXP Energy Corp.,PXP
Raslag Corp.,ASLAG
Repower Energy Development Corp.,REDC
Republic Glass Holdings Corp.,REG
RFM Corp.,RFM
Rizal Commercial Banking Corp. A,RCB
RL Commercial REIT Inc.,RCR
Robinsons Land Corp.,RLC
Robinsons Retail Holdings Inc.,RRHI
Rockwell Land Corp.,ROCK
Roxas & Co. Inc.,RCI
San Miguel Corp.,SMC
San Miguel Corp. 6.3355% Pfd.,SMC2I
San Miguel Corp. 6.8072% Pfd.,SMC2F
San Miguel Corp. Pfd.,SMC2J
San Miguel Corp. Pfd.,SMC2K
San Miguel Corp. Pfd. 2L,SMC2L
San Miguel Corp. Pfd. 2N,SMC2N
San Miguel Corp. Pfd. 2O,SMC2O
San Miguel Food & Beverage Inc.,FB
SBS Philippines Corp.,SBS
Security Bank Corp.,SECB
Semirara Mining & Power Corp.,SCC
Shakey's Pizza Asia Ventures Inc.,PIZZA
Shang Properties Inc.,SHNG
Shell Pilipinas Corp.,SHLPH
SM Investments Corp.,SM
SM Prime Holdings Inc.,SMPH
SOCResources Inc.,SOC
Solid Group Inc.,SGI
SP New Energy Corp.,SPNEC
SPC Power Corp.,SPC
SSI Group Inc.,SSI
Sta. Lucia Land Inc.,SLI
Steniel Manufacturing Corp.,STN
STI Education Systems Holdings Inc.,STI
Sun Life Financial Inc.,SLF
Suntrust Resort Holdings Inc.,SUN
Swift Foods Inc.,SFI
Synergy Grid & Development Philippines Inc.,SGP
TKC Metals Corp.,T
Top Frontier Investment Holdings Inc.,TFHI
Top Line Business Development Corp.,TOP
Transpacific Broadband Group International Inc.,TBGI
Uniholdings Inc.,UNH
Union Bank of the Philippines,UBP
United Paragon Mining Corp.,UPM
Universal Robina Corp.,URC
Upson International Corp.,UPSON
Vantage Equities Inc.,V
Victorias Milling Co. Inc.,VMC
Vista Land & Lifescapes Inc.,VLL
Vista Land & Lifescapes Inc. Series 2A Pfd,VLL2A
Vista Land & Lifescapes Inc. Series 2B Pfd,VLL2B
Vistamalls Inc.,STR
VistaREIT Inc.,VREIT
Vitarich Corp.,VITA
Vivant Corp.,VVT
Waterfront Philippines Inc.,WPI
Wellex Industries Inc.,WIN
Wilcon Depot Inc.,WLCON
Xurpas Inc.,X
Zeus Holdings Inc.,ZHI
