MEG,MegaWorld Corp.,Real Estate Developers
MM,MerryMart Consumer Corp.,Food Retail
MAH,Metro Alliance Holdings & Equities Corp.,Chemicals
MAHB,Metro Alliance Holdings & Equities Corp. B,Chemicals
MRSGI,Metro Retail Stores Group Inc.,Mixed Retailing
MBT,Metropolitan Bank & Trust Co.,Banking
MG,Millennium Global Holdings Inc.,Diversified Holding Companies
MONDE,Monde Nissin Corp.,Food Products
MRCReal Estate Developers,MRC Allied Inc.,
MREIT,MREIT Inc.,Industrial/Office REITs
NRCP,National Reinsurance Corp. of the Philippines,Reinsurance
XG,NexGen Energy Corp.,Renewable Energy Generation
NIKL,Nickel Asia Corp.,Non-Ferrous Metals
NI,NiHAO Mineral Resources International Inc.,Non-Ferrous Metals
NOW,Now Corp.,Internet/Online
OGP,OceanaGold Philippines Inc.,Non-Ferrous Metals
OM,Omico Corp.,Real Estate Developers
ORE,Oriental Peninsula Resources Group Inc.,Non-Ferrous Metals
OPMB,Oriental Petroleum & Mineral Corp. B,Upstream Oil & Gas
OPM,Oriental Petroleum & Minerals Corp. A,Upstream Oil & Gas
LOTO,Pacific Online Systems Corp.,Gambling Industries
PA,Pacifica Holdings Inc.,Upstream Oil & Gas
PAL,PAL Holdings Inc.,Passenger Airlines
PMPC,Panasonic Manufacturing Philippines Corp.,Housewares
PAX,Paxys Inc.,Diversified Business Services
PERC,PetroEnergy Resources Corp.,Upstream Oil & Gas
PCOR,Petron Corp.,Oil & Gas Products/Services
PRF4D,Petron Corp. NV Series 4D Pfd,Oil & Gas Products/Services
PRF4E,Petron Corp. NV Series 4E Pfd.,Oil & Gas Products/Services
PRF4A,Petron Corp. Pfd. Series 4A,Oil & Gas Products/Services
PRF4C,Petron Corp. Pfd. Series 4C,Oil & Gas Products/Services
PHR,PH Resorts Group Holdings Inc.,Water Utilities
PX,Philex Mining Corp.,General Mining
PBC,Philippine Bank of Communications,Banking
PBB,Philippine Business Bank,Banking
PHES,Philippine Estates Corp.,Real Estate Developers
INFRA,Philippine Infradev Holdings Inc.,Real Estate Developers
PNB,Philippine National Bank,Banking
PRC,Philippine Racing Club Inc.,Recreational Services
RLT,Philippine Realty & Holdings Corp.,Real Estate Developers
PSB,Philippine Savings Bank,Banking
SEVN,Philippine Seven Corp.,Food Retail
PSE,Philippine Stock Exchange Inc.,Securities
PTC,Philippine Trust Co.,Banking
OV,Philodrill Corp.,Upstream Oil & Gas
WEB,Philweb Corp.,Gambling Industries
PHN,Phinma Corp.,Consumer Services
TEL,PLDT Inc.,Wireless Telecommunications Services
PHA,Premiere Horizon Alliance Corp.,Diversified Holding Companies
PREIT,Premiere Island Power REIT Corp.,Industrial/Office REITs
PRIM,Prime Media Holdings Inc.,Diversified Holding Companies
PRMX,Primex Corp.,Real Estate Developers
PPC,Pryce Corp.,Chemicals
PGOLD,Puregold Price Club Inc.,Food Retail
PXP,PXP Energy Corp.,Upstream Oil & Gas
ASLAG,Raslag Corp.,Renewable Energy Generation
REDC,Repower Energy Development Corp.,Renewable Energy Generation
RFM,RFM Corp.,Food Products
RCB,Rizal Commercial Banking Corp. A,Banking
RCR,RL Commercial REIT Inc.,Industrial/Office REITs
RLC,Robinsons Land Corp.,Real Estate Developers
RRHI,Robinsons Retail Holdings Inc.,Mixed Retailing
ROCK,Rockwell Land Corp.,Real Estate Developers
RCI,Roxas & Co. Inc.,Food Products
SMC,San Miguel Corp.,Oil & Gas Products/Services
SMC2I,San Miguel Corp. 6.3355% Pfd.,Oil & Gas Products/Services
SMC2F,San Miguel Corp. 6.8072% Pfd.,Oil & Gas Products/Services
SMC2J,San Miguel Corp. Pfd.,Oil & Gas Products/Services
SMC2K,San Miguel Corp. Pfd.,Oil & Gas Products/Services
SMC2L,San Miguel Corp. Pfd. 2L,Oil & Gas Products/Services
SMC2N,San Miguel Corp. Pfd. 2N,Oil & Gas Products/Services
SMC2O,San Miguel Corp. Pfd. 2O,Oil & Gas Products/Services
FB,San Miguel Food & Beverage Inc.,Food Products
SBS,SBS Philippines Corp.,Chemicals
SECB,Security Bank Corp.,Banking
SCC,Semirara Mining & Power Corp.,Coal
PIZZA,Shakey's Pizza Asia Ventures Inc.,Restaurants
SHNG,Shang Properties Inc.,Real Estate Developers
SHLPH,Shell Pilipinas Corp.,Upstream Oil & Gas
SM,SM Investments Corp.,Mixed Retailing
SMPH,SM Prime Holdings Inc.,Mixed Retailing
SGI,Solid Group Inc.,Networking
SPNEC,SP New Energy Corp.,Renewable Energy Generation
SPC,SPC Power Corp.,Electric Utilities
SSI,SSI Group Inc.,Clothing Retail
SLI,Sta. Lucia Land Inc.,Real Estate Developers
STN,Steniel Manufacturing Corp.,Containers/Packaging
STI,STI Education Systems Holdings Inc.,Consumer Services
SLF,Sun Life Financial Inc.,Life Insurance
SUN,Suntrust Resort Holdings Inc.,Real Estate Developers
SFI,Swift Foods Inc.,Food Products
SGP,Synergy Grid & Development Philippines Inc.,Diversified Business Services
T,TKC Metals Corp.,Iron/Steel
